name,address,tel,business_hours,url,spot
北海道ブランドショップ,北海道小樽市築港11番ウィングベイ小樽 イオン小樽店 北海道ブランドショップ,0134-21-6121,9:00～21：00,https://tabi-sake.com/shop/%e6%9c%ad%e5%b9%8c%e5%b0%8f%e6%a8%bd%e5%87%bd%e9%a4%a8%e3%80%80%e5%8c%97%e6%b5%b7%e9%81%93%e3%83%96%e3%83%a9%e3%83%b3%e3%83%89%e3%82%b7%e3%83%a7%e3%83%83%e3%83%97/,50.北海道
酒舗　稲村屋,北海道北斗市市渡１丁目１番７号　北斗市観光交流センター別館（ほっくる）内,0138-83-8565,9：00～21：00　年中無休,https://tabi-sake.com/shop/%e6%9c%ad%e5%b9%8c%e5%b0%8f%e6%a8%bd%e5%87%bd%e9%a4%a8%e3%80%80%e9%85%92%e8%88%97%e3%80%80%e7%a8%b2%e6%9d%91%e5%b1%8b/,50.北海道
男山酒造り資料舘,北海道旭川市永山２条７丁目１番３３号　男山酒造り資料舘,0166-47-7080,,https://tabi-sake.com/shop/%e7%94%b7%e5%b1%b1%e9%85%92%e9%80%a0%e3%82%8a%e8%b3%87%e6%96%99%e8%88%98/,50.北海道
道の駅 摩周温泉,北海道川上郡弟子屈町湯の島3丁目5番5　道の駅 摩周温泉,015-482-2500,【５月～10月】8:00～18:00、【11月～４月】9:00～17:00,https://tabi-sake.com/shop/50%e9%81%93%e3%81%ae%e9%a7%85%e6%91%a9%e5%91%a8%e6%b8%a9%e6%b3%89/,50.北海道
小村商店,北海道函館市元町31-24　小村商店,0138-22-3721,8:00～22:00,https://tabi-sake.com/shop/50komurasyouten/,50.北海道
道の駅 羊のまち　侍・しべつ,北海道士別市大通東５丁目440番地23　道の駅 羊のまち　侍・しべつ,0165-26-7353,【5～10月】9:00～18:00 【11月～4月】10:00～17:00 ※年末年始休業,https://tabi-sake.com/shop/50samuraishibetsu/,50.北海道
砂川ハイウェイオアシス館　オアシスプラザ,北海道砂川市北光336番地7　砂川ハイウェイオアシス,0125-53-3000,9:00～17:00,https://tabi-sake.com/shop/50sunagawa_oasisplaza/,50.北海道
おとべ温泉郷　光林荘,北海道爾志郡乙部町館浦527ｰ2　おとべ温泉郷　光林荘,0139-62-3347,,https://tabi-sake.com/shop/50kourinsou/,50.北海道
道の駅 上ノ国もんじゅ,北海道檜山郡上ノ国町原歌3番地　道の駅 上ノ国もんじゅ,0139-55-3955,【4月-10月】9:00～17:00（定休無）</br>【11月-3月】10:00～17:00（月曜定休）,https://tabi-sake.com/shop/50kaminokunimonju/,50.北海道
道の駅びえい「丘のくら」,北海道上川郡美瑛町本町1丁目9-21　道の駅びえい「丘のくら」,0166-92-0920,【6月～8月】9:00～18:00</br>【9月～5月】9:00～17:00 （年末年始休業）,https://tabi-sake.com/shop/50biei_okanokura/,50.北海道
松岡商店 駅前店,北海道函館市若松町14-10 ツインタワー1F　松岡商店,0138-26-3296,9:00～19:00,https://tabi-sake.com/shop/50yamamatsu_matsuokasyouten/,50.北海道
笹の川酒造 ショップ,福島県郡山市笹川1丁目178　笹の川酒造,024-945-0261,9：00~16：00,https://tabi-sake.com/shop/7sasanogawasyuzou/,51.福島
道の駅 ふくしま,福島県福島市大笹生字月崎1-1　道の駅 ふくしま,0245-72-4588,9:00～18:00,https://tabi-sake.com/shop/52michiekifukushima/,51.福島
しばざくらの里　道の駅ひらた,福島県石川郡平田村上蓬田横森後160　道の駅ひらた,0247-55-3501,9:30～18:00（土日祝日は9：00～）,https://tabi-sake.com/shop/52michiekihirata/,51.福島
佐藤物産館,福島県二本松市岳温泉一丁目14　佐藤物産館,0243-24-2504,9:00～18:00　水曜日定休,https://tabi-sake.com/shop/52satoubussankan/,51.福島
